PostalCode,latitude,longitude
5616677351,38.2647818939348,48.281713050169
5614858433,0.0,0.0
5615869888,0.0,0.0
5614714457,38.2393572936614,48.2823053421371
5619647774,38.2271747769685,48.285119776626296
5614786795,0.0,0.0
5619744199,38.2292021941059,48.2896885993724
5618645137,38.236535274891104,48.3061549309651
5616914758,38.2694982947447,48.269741183077805
5616667133,38.2606725946539,48.2741728805582
5615945674,38.2430564317649,48.2621005701448
5615853684,0.0,0.0
5615938591,0.0,0.0
5616677373,0.0,0.0
5619831869,0.0,0.0
5618956315,38.2087616056572,48.305660040644504
5616914654,0.0,0.0
5618954116,38.2165354708519,48.2973989293467
5618956315,38.2087616056572,48.305660040644504
5613917133,38.2352425380154,48.2920056417019
5616695198,38.26238652850449,48.287974103727095
5615955997,0.0,0.0
5614854416,38.258195597763,48.288170882640394
5613643175,38.2391485653582,48.2949458451368
5614788353,38.246573873200994,48.282642360155506
5616921415,0.0,0.0
5615749433,38.239990781630496,48.2720325997085
5619843437,38.2243451339578,48.3020404215765
5619813471,0.0,0.0
5614975479,38.263226484776695,48.305164674992895
5617755983,38.2769902796675,48.2908096860484
5616744552,0.0,0.0
5617671652,0.0,0.0
-,
-,
561473,
561476758,
-,
561575318,
-,
561577,
561575318,
-,
561395388,
-,
-,
-,
561511311,
561478664,
-,
561696685,
-,
-,
515735897,
-,
561983363,
-,
561577749,
-,
-,
-,
-,
-,
-,
561575153,
561684,
561977611,
561973613,
-,
-,
-,
-,
561365663,
561391,
561934639,
-,
561698499,
561669339,
561694515,
561396781,
561684113,
561976,
-,
-,
-,
-,
-,
-,
-,
-,
-,
-,
-,
561474,
-,
319777333,
319976577,
-,
-,
318383464,
318579855,
-,
-,
-,
123454,
318695759,
318761748,
319767745,
318761748,
-,
-,
313965359,
-,
-,
-,
313891491,
